250,500,0,0,0,0,0,0
150,500,0,0,0,0,0,0
350,500,0,0,0,0,0,0
250,400,0,0,0,0,0,0
250,150,0,0,0,0,0,0
250,250,0,0,0,0,0,0
250,200,0,0,0,0,0,0
255,505,0,0,0,0,0,0
155,505,0,0,0,0,0,0
355,505,0,0,0,0,0,0
255,405,0,0,0,0,0,0
255,155,0,0,0,0,0,0
255,255,0,0,0,0,0,0
255,205,0,0,0,0,0,0
780,700,0,0,0,0,0,0
700,780,0,0,0,0,0,0
431.08377,143.1351168,0,1,89.27611346,-0.113083313,0.993585509,0
7.57172898,86.6874651,0,1,80.64582178,-0.012518489,-0.999921641,0
32.30604365,65.51959572,0,1,71.6684548,0.84519517,-0.534457786,0
22.21040501,57.45564548,0,1,57.14088703,0.742055024,-0.670338975,0
24.22953274,19.65587872,0,1,48.46954795,0.999783731,-0.020796435,0
47.44950161,7.559953352,0,1,30.29197509,0.866521922,0.499139018,0
19.68649535,8.063950242,0,1,42.5481089,0.925375809,0.379050936,0
31.80126172,114.911291,0,1,65.61547197,0.969322044,0.24579417,0
31.80126172,126.5032194,0,1,63.9927145,0.993902571,-0.110261871,0
43.91602809,140.6151323,0,1,97.94462335,0.896752197,0.442533046,0
54.51644866,158.7590204,0,1,31.31297384,0.064482145,0.997918861,0
30.28691592,161.7830017,0,1,62.43236887,0.970231195,0.24218057,0
32.30604365,180.9348836,0,1,73.59445815,0.905383594,0.424594568,0
34.32517138,187.4868431,0,1,74.22569573,0.924886484,-0.380243332,0
9.590856709,192.0228151,0,1,34.96337238,0.548623091,0.836069796,0
30.28691592,232.8465632,0,1,91.81385406,0.153940756,0.98808008,0
31.29647979,223.7746192,0,1,75.07506066,0.806843595,-0.590765108,0
35.33473524,297.3581652,0,1,77.82461614,0.518891792,-0.854839931,0
71.67903435,229.8225819,0,1,26.21388108,-0.385125675,-0.922864137,0
63.0977415,236.8785384,0,1,33.81967821,-0.447770611,-0.894148467,0
66.1264331,240.9105135,0,1,33.7094416,-0.628928874,0.777462843,0
25.74387853,277.1982896,0,1,49.46862934,-1,0,0
18.67693148,295.8461745,0,1,37.68628678,0.937601931,-0.34771054,0
28.77257013,308.4460968,0,1,52.0779586,-0.717268187,-0.696797207,0
43.41124615,324.0700004,0,1,62.39948156,0.77659404,-0.630001347,0
13.12433023,354.8138107,0,1,48.11106436,0.545584697,-0.838055689,0
